Date,Match,Score,Winner
2019-06-03,LA Galaxy vs. New England Revolution,1 - 2,New England Revolution
2019-05-11,New England Revolution vs. San Jose Earthquakes,3 - 1,New England Revolution
2021-10-27,New England Revolution vs. Colorado Rapids,1 - 0,New England Revolution
2018-04-28,New England Revolution vs. Sporting Kansas City,1 - 0,New England Revolution
2021-06-28,FC Dallas vs. New England Revolution,2 - 1,FC Dallas
2021-04-25,LA Galaxy vs. New York Red Bulls,3 - 2,LA Galaxy
2019-03-16,New York Red Bulls vs. San Jose Earthquakes,4 - 1,New York Red Bulls
2019-08-31,New York Red Bulls vs. Colorado Rapids,0 - 2,Colorado Rapids
2021-04-18,New York Red Bulls vs. Sporting Kansas City,1 - 2,Sporting Kansas City
2019-05-11,FC Dallas vs. New York Red Bulls,1 - 3,New York Red Bulls
2019-08-11,D.C. United vs. LA Galaxy,2 - 1,D.C. United
2021-05-02,San Jose Earthquakes vs. D.C. United,4 - 1,San Jose Earthquakes
2020-02-29,D.C. United vs. Colorado Rapids,1 - 2,Colorado Rapids
2019-05-12,D.C. United vs. Sporting Kansas City,1 - 0,D.C. United
2019-07-05,FC Dallas vs. D.C. United,2 - 0,FC Dallas
2019-05-08,Columbus Crew vs. LA Galaxy,3 - 1,Columbus Crew
2018-04-28,Columbus Crew vs. San Jose Earthquakes,2 - 1,Columbus Crew
2019-05-26,Colorado Rapids vs. Columbus Crew,3 - 2,Colorado Rapids
2019-06-23,Columbus Crew vs. Sporting Kansas City,0 - 1,Sporting Kansas City
2019-03-16,Columbus Crew vs. FC Dallas,1 - 0,Columbus Crew
2019-03-03,LA Galaxy vs. Chicago Fire FC,2 - 1,LA Galaxy
2019-05-18,San Jose Earthquakes vs. Chicago Fire FC,4 - 1,San Jose Earthquakes
2019-04-20,Chicago Fire FC vs. Colorado Rapids,4 - 1,Chicago Fire FC
2021-09-12,Sporting Kansas City vs. Chicago Fire FC,2 - 0,Sporting Kansas City
2019-09-14,Chicago Fire FC vs. FC Dallas,4 - 0,Chicago Fire FC
